year,gdp_usd
2010,16693671681957.22
2015,18459285695743.11
2020,20977660408499.457
2025,25403945861430.324
2030,23587435381275.434
2035,27302790178625.695
2040,34502028932644.71
2045,42505288723065.54
2050,45228791373309.836
2055,42731813630531.234
2060,59164136486285.7
2065,48484755656469.695
2070,39804075581129.93
2075,39952426201112.23
2080,45159855026301.96
2085,47212723401785.64
2090,67361549371207.22
2095,72553164616779.84
2100,89655862327074
2105,94898321770591.31
2110,86444589342874.28
2115,90493625979086.52
2120,93558234436557.83
2125,90680508835685.42
2130,74277484899918.89
2135,64622152714798.21
2140,80249127834790.23
2145,75478955237506.55
2150,67722859061028.62
2155,63745163852834.47
2160,59380506037674.34
2165,56129648172288.4
2170,51944432330288.805
2175,56225007999569.14
2180,54988699149680.46
2185,52382530667360.4
2190,54508050947400.19
2195,43337583610667.22
2200,40932773425805.33
2205,31800818115556.28
2210,28464564810618.523
2215,19658066754489.277
2220,18895855866505.01
2225,15530906871385.41
2230,12407986978594.018
2235,10578998265108.541
2240,8512153056938.93
2245,8138082866473.182
2250,5978616485661.307
2255,5686961549476.71
2260,4605435576135.97
2265,3932880029814.9644
2270,3479401684775.873
2275,2334767379463.8564
2280,2423679855065.602
2285,1925752220024.5325
2290,2284119865701.4795
2295,1986004532810.7527
2300,2060912254846.265
