year,Northern Plains,Southern Plains,Midwest,Northeast,Northwest,Southeast,Southwest
2010,4866153,31750030,60760771,64443442.99999999,12123196,76532629,56198783.99999999
2015,5143618.420126919,33914631.463793814,62531699.87780011,66262356.03355393,12500441.201636894,79584504.4088988,59678476.65849902
2020,5389621.975500885,35887944.83339907,64037895.73367097,67840975.10304694,12804484.3222944,82152558.34657447,62889166.68551327
2025,5678484.200597629,38150708.5985346,66092671.61218017,69977770.03019947,13211549.204896178,85362181.9420103,66577494.244027644
2030,5986709.536293551,40631925.058534056,68399000.76482196,72471083.3133332,13681290.244765451,88971192.75389048,70682682.07098426
2035,6201341.817499271,42575835.22429904,69677254.56817323,74062980.17967129,13961362.503087066,91397301.10038522,73971221.20763287
2040,6402106.587380834,44433517.643795796,70812912.14668502,75624355.24597277,14221111.938494762,93738423.22619101,77216392.9304198
2045,6526700.894669104,45741000.07331531,71143816.74618445,76388723.31626776,14322643.080647424,95043596.72359845,79586531.60292757
2050,6635769.414629277,46900351.28379861,71353007.89812298,77019690.42662258,14397388.920797111,96168852.00000818,81708392.06218825
2055,6742398.824972533,48002658.056392044,71577725.24848002,77651865.27939571,14471056.576011293,97295480.8453101,83708951.3478233
2060,6933478.352221541,49675634.80598648,72724365.83535983,79286700.86143307,14729310.836376585,99669534.18316711,86696819.09305042
2065,7099447.561708908,51145234.15465215,73633313.71113779,80685919.53009169,14936704.523117332,101715691.27744406,89343164.70894107
2070,7228067.441741939,52321555.98590824,74187838.35321936,81718479.2494136,15068697.663797662,103272898.22924487,91492690.35076532
2075,7413052.7540141,53892425.60318876,75353698.21120043,83442297.33063857,15323894.325183176,105681160.25303684,94347402.96566111
2080,7529265.758164945,54962103.892646804,75844255.4110792,84409253.96135733,15441785.499342954,107148799.86727877,96315944.83460997
2085,7621279.200673107,55847545.18462535,76114483.46920072,85116786.56539567,15515386.271999577,108295716.63140869,97946576.43540987
2090,7676521.09415899,56292872.09420268,76538159.7503317,85669330.37056716,15605615.352448033,109049734.15777913,98741316.17044829
2095,7611434.336641974,55815582.90669304,75889217.26930876,84942967.6257664,15473300.350653606,108125136.47643842,97904120.25531076
2100,7605292.541990302,55770544.37211277,75827980.98083414,84874425.71353449,15460814.68380894,108037888.48144156,97825119.77057084
2105,7675354.346560128,56284316.190748066,76526526.78365126,85656309.56540295,15603243.468880216,109033159.78588273,98726308.56581368
2110,7696565.684328003,56439861.53599859,76738012.78605816,85893026.31255296,15646364.040589213,109334479.96938065,98999145.0998694
2115,7672708.898957058,56264916.798533164,76500150.55296403,85626786.59244351,15597865.533064997,108995579.56506336,98692280.78487189
2120,7738791.524929185,56749508.81174713,77159022.26338303,86364263.14552279,15732205.037868205,109934324.17428374,99542286.32572192
2125,7717514.346769364,56593480.65081525,76946879.80444135,86126811.62513107,15688950.619092448,109632068.68726088,99268602.90192562
2130,7670458.412848404,56248413.70747013,76477712.25530455,85601671.35657404,15593290.51527544,108963610.0167661,98663333.30232528
2135,7629131.1880693715,55945356.09192282,76065662.35752179,85140463.00067082,15509276.315929793,108376531.20588896,98131750.76405041
2140,7605826.713556122,55774461.517817475,75833306.8971102,84880387.02332385,15461900.602272024,108045476.71920353,97831990.69593182
2145,7574841.870236344,55547245.85587051,75524374.91362973,84534598.77545957,15398911.4512395,107605317.83922425,97433439.81940807
2150,7469477.815542775,54774598.300885655,74473850.75676717,83358744.77857627,15184716.650058893,106108556.21853884,96078166.34202336
2155,7378401.891167173,54106727.360540286,73565785.29797842,82342345.11544305,14999568.218075069,104814766.33383566,94906677.78177829
